SOURCE PKS0408-65 4.13900 -65.75249
COEFF 9.0000000000000000e+00 1.2000000000000000e+01 1.9980675570358828e-07
COEFF 9.0000000000000000e+00 1.3000000000000000e+01 2.0936036666378344e-08
COEFF 9.0000000000000000e+00 1.4000000000000000e+01 -1.0554262352772840e-07
COEFF 9.0000000000000000e+00 1.5000000000000000e+01 2.5481416589437580e-07
COEFF 9.0000000000000000e+00 1.6000000000000000e+01 -4.4740068711119593e-08
COEFF 1.0000000000000000e+01 0.0000000000000000e+00 -1.2253446184077576e-06
COEFF 1.0000000000000000e+01 1.0000000000000000e+00 -1.3072881096018374e-06
COEFF 1.0000000000000000e+01 2.0000000000000000e+00 2.2313149730681401e-06
COEFF 1.0000000000000000e+01 3.0000000000000000e+00 3.1255923841193492e-07
COEFF 1.0000000000000000e+01 4.0000000000000000e+00 -1.0531796570913474e-06
COEFF 1.0000000000000000e+01 5.0000000000000000e+00 3.8755562748768258e-07
COEFF 1.0000000000000000e+01 6.0000000000000000e+00 3.1990221853044268e-07
COEFF 1.0000000000000000e+01 7.0000000000000000e+00 -6.7158155426706140e-07
COEFF 1.0000000000000000e+01 8.0000000000000000e+00 -5.4252469227985451e-08
COEFF 1.0000000000000000e+01 9.0000000000000000e+00 6.8749736221307097e-07
COEFF 1.0000000000000000e+01 1.0000000000000000e+01 -2.1822156639740303e-08
COEFF 1.0000000000000000e+01 1.1000000000000000e+01 -5.7868817173957637e-07
COEFF 1.0000000000000000e+01 1.2000000000000000e+01 8.1517047261856463e-08
COEFF 1.0000000000000000e+01 1.3000000000000000e+01 4.1306747164276583e-07
COEFF 1.0000000000000000e+01 1.4000000000000000e+01 -1.7499474459878007e-07
COEFF 1.0000000000000000e+01 1.5000000000000000e+01 -2.4651087655318086e-07
COEFF 1.1000000000000000e+01 0.0000000000000000e+00 1.1452444184085719e-07
COEFF 1.1000000000000000e+01 1.0000000000000000e+00 -2.1479942241373310e-06
COEFF 1.1000000000000000e+01 2.0000000000000000e+00 1.4727790296726106e-06
COEFF 1.1000000000000000e+01 3.0000000000000000e+00 -7.2613910159387217e-08
COEFF 1.1000000000000000e+01 4.0000000000000000e+00 -1.1056178084004904e-06
COEFF 1.1000000000000000e+01 5.0000000000000000e+00 7.0068250122538866e-07
COEFF 1.1000000000000000e+01 6.0000000000000000e+00 5.3648424839674187e-07
COEFF 1.1000000000000000e+01 7.0000000000000000e+00 -7.1982959725280543e-07
COEFF 1.1000000000000000e+01 8.0000000000000000e+00 -1.0359109523868981e-07
COEFF 1.1000000000000000e+01 9.0000000000000000e+00 6.6577579393453061e-07
COEFF 1.1000000000000000e+01 1.0000000000000000e+01 -1.8642430347451555e-07
COEFF 1.1000000000000000e+01 1.1000000000000000e+01 -6.7619660950440850e-07
COEFF 1.1000000000000000e+01 1.2000000000000000e+01 3.7295628529512862e-07
COEFF 1.1000000000000000e+01 1.3000000000000000e+01 6.9949207366533112e-07
COEFF 1.1000000000000000e+01 1.4000000000000000e+01 -4.7437675861183989e-07
COEFF 1.2000000000000000e+01 0.0000000000000000e+00 2.1331377357070194e-06
COEFF 1.2000000000000000e+01 1.0000000000000000e+00 -1.6332552832149846e-06
COEFF 1.2000000000000000e+01 2.0000000000000000e+00 2.1193967757632722e-06
COEFF 1.2000000000000000e+01 3.0000000000000000e+00 -7.7590992351566598e-07
COEFF 1.2000000000000000e+01 4.0000000000000000e+00 -1.8211375390283279e-06
COEFF 1.2000000000000000e+01 5.0000000000000000e+00 1.3559508904740608e-06
COEFF 1.2000000000000000e+01 6.0000000000000000e+00 7.2051684953665271e-07
COEFF 1.2000000000000000e+01 7.0000000000000000e+00 -1.1528169759610184e-06
COEFF 1.2000000000000000e+01 8.0000000000000000e+00 1.4591684224373696e-07
COEFF 1.2000000000000000e+01 9.0000000000000000e+00 7.9369804288628076e-07
COEFF 1.2000000000000000e+01 1.0000000000000000e+01 -5.7108374173698835e-07
COEFF 1.2000000000000000e+01 1.1000000000000000e+01 -4.9761463027931582e-07
COEFF 1.2000000000000000e+01 1.2000000000000000e+01 5.8668442622791811e-07
COEFF 1.2000000000000000e+01 1.3000000000000000e+01 3.3099594905782356e-07
COEFF 1.3000000000000000e+01 0.0000000000000000e+00 1.6162395227410639e-06
COEFF 1.3000000000000000e+01 1.0000000000000000e+00 -2.3372723239827451e-06
COEFF 1.3000000000000000e+01 2.0000000000000000e+00 2.5805684536746411e-06
COEFF 1.3000000000000000e+01 3.0000000000000000e+00 -1.4736454615208830e-07
COEFF 1.3000000000000000e+01 4.0000000000000000e+00 -1.4521563241376130e-06
COEFF 1.3000000000000000e+01 5.0000000000000000e+00 1.0491839118418191e-06
COEFF 1.3000000000000000e+01 6.0000000000000000e+00 2.5710894536446212e-07
COEFF 1.3000000000000000e+01 7.0000000000000000e+00 -9.8039558924987340e-07
COEFF 1.3000000000000000e+01 8.0000000000000000e+00 3.1217296219329739e-07
COEFF 1.3000000000000000e+01 9.0000000000000000e+00 5.3034224693819483e-07
COEFF 1.3000000000000000e+01 1.0000000000000000e+01 -3.7986429009794397e-07
COEFF 1.3000000000000000e+01 1.1000000000000000e+01 -5.5620587318875674e-08
COEFF 1.3000000000000000e+01 1.2000000000000000e+01 1.8573212045476619e-07
COEFF 1.4000000000000000e+01 0.0000000000000000e+00 2.5250538072425102e-06
COEFF 1.4000000000000000e+01 1.0000000000000000e+00 -4.0951051367115551e-06
COEFF 1.4000000000000000e+01 2.0000000000000000e+00 1.6393146400523330e-06
COEFF 1.4000000000000000e+01 3.0000000000000000e+00 3.4767649357224501e-07
COEFF 1.4000000000000000e+01 4.0000000000000000e+00 -8.6759390712168135e-07
COEFF 1.4000000000000000e+01 5.0000000000000000e+00 8.6238453214084305e-07
COEFF 1.4000000000000000e+01 6.0000000000000000e+00 7.2921051158607457e-08
COEFF 1.4000000000000000e+01 7.0000000000000000e+00 -7.6305230104076952e-07
COEFF 1.4000000000000000e+01 8.0000000000000000e+00 2.2742798415601575e-07
COEFF 1.4000000000000000e+01 9.0000000000000000e+00 2.4242951577825336e-07
COEFF 1.4000000000000000e+01 1.0000000000000000e+01 -1.9370140707367949e-07
COEFF 1.4000000000000000e+01 1.1000000000000000e+01 2.2153617233824381e-07
COEFF 1.5000000000000000e+01 0.0000000000000000e+00 3.2916724352569024e-06
COEFF 1.5000000000000000e+01 1.0000000000000000e+00 -4.0084322727851739e-06
COEFF 1.5000000000000000e+01 2.0000000000000000e+00 2.0069542968124234e-06
COEFF 1.5000000000000000e+01 3.0000000000000000e+00 -1.1960932636308373e-07
COEFF 1.5000000000000000e+01 4.0000000000000000e+00 -1.4091208993213371e-06
COEFF 1.5000000000000000e+01 5.0000000000000000e+00 1.1350723629168635e-06
COEFF 1.5000000000000000e+01 6.0000000000000000e+00 2.7422152078558614e-07
COEFF 1.5000000000000000e+01 7.0000000000000000e+00 -8.0712752469311697e-07
COEFF 1.5000000000000000e+01 8.0000000000000000e+00 3.9597098878206558e-07
COEFF 1.5000000000000000e+01 9.0000000000000000e+00 1.9795064334968241e-07
COEFF 1.5000000000000000e+01 1.0000000000000000e+01 -5.0728975536385941e-07
COEFF 1.6000000000000000e+01 0.0000000000000000e+00 1.7150350089920425e-06
COEFF 1.6000000000000000e+01 1.0000000000000000e+00 -3.0225613237648293e-06
COEFF 1.6000000000000000e+01 2.0000000000000000e+00 2.9286043906000198e-06
COEFF 1.6000000000000000e+01 3.0000000000000000e+00 -5.1908033789385067e-08
COEFF 1.6000000000000000e+01 4.0000000000000000e+00 -1.5843843610193489e-06
COEFF 1.6000000000000000e+01 5.0000000000000000e+00 8.4033933643607055e-07
COEFF 1.6000000000000000e+01 6.0000000000000000e+00 9.7510889032408698e-08
COEFF 1.6000000000000000e+01 7.0000000000000000e+00 -6.0905655167829155e-07
COEFF 1.6000000000000000e+01 8.0000000000000000e+00 5.6780390314004108e-07
COEFF 1.6000000000000000e+01 9.0000000000000000e+00 1.9542919590896118e-07
COEFF 1.7000000000000000e+01 0.0000000000000000e+00 9.2569174717176972e-07
COEFF 1.7000000000000000e+01 1.0000000000000000e+00 -2.4548720079745014e-06
COEFF 1.7000000000000000e+01 2.0000000000000000e+00 2.2354598713502632e-06
COEFF 1.7000000000000000e+01 3.0000000000000000e+00 -1.0046877215094904e-07
COEFF 1.7000000000000000e+01 4.0000000000000000e+00 -9.3908312983354293e-07
COEFF 1.7000000000000000e+01 5.0000000000000000e+00 7.5774263357100040e-07
COEFF 1.7000000000000000e+01 6.0000000000000000e+00 -5.2600348843789697e-08
COEFF 1.7000000000000000e+01 7.0000000000000000e+00 -5.3961763931899475e-07
COEFF 1.7000000000000000e+01 8.0000000000000000e+00 2.8565572151830499e-07
COEFF 1.8000000000000000e+01 0.0000000000000000e+00 1.2021301355157554e-06
COEFF 1.8000000000000000e+01 1.0000000000000000e+00 -1.4468737876428573e-06
COEFF 1.8000000000000000e+01 2.0000000000000000e+00 1.4443622752608577e-06
